visitorid,itemid,timestamp,weight
local_1,local_123456,1771488549,3
local_1,local_123456,1771488626,3
local_1,local_123456,1771488676,3
local_1,local_123456,1771488943,3
local_1,local_123456,1771827978,3
local_1,local_123456,1771895303,3
local_1,local_123456,1778466357,3
local_1,local_123456,1788355481,3
local_1,local_123456,1788357085,3
local_1,local_123456,1788785661,3
local_1,local_123456,1788785830,3
local_1,local_300247606,1789016912,3
local_1,local_1369155873162661889,1789023980,3
local_1,local_300240249,1789023980,3
local_1,local_1369155873162661889,1789024016,3
local_1,local_1369155873162661889,1789045768,2
local_1,local_654321,1789044278,5
local_1,local_300247606,1789044278,4
local_1,local_3673386,1789045611,5
local_1,local_1466078,1789045611,4
local_1,local_1027026,1789045611,4
local_3,local_1583110,1789045611,5
local_3,local_1231014,1789045611,4
local_3,local_1231012,1789045611,4
local_1,local_1266175,1789045757,4
local_1,local_300188504,1789045757,4
local_1,local_300274056,1789045757,4
local_1,local_1109022,1789045757,4
local_1,local_300282445,1789045757,4
local_1,local_300186892,1789045757,4
local_1,local_1379052170296430594,1789045757,4
local_1,local_300298126,1789045757,5
local_1,local_300206158,1789045757,4
local_1,local_300299457,1789045757,4
local_3,local_1231018,1789045757,4
local_3,local_1136636,1789045757,4
local_3,local_1231020,1789045757,4
local_3,local_1136637,1789045757,4
local_3,local_1136640,1789045757,4
local_3,local_300255972,1789045757,4
local_3,local_300193382,1789045757,5
local_3,local_1448043,1789045757,4
local_3,local_3593158,1789045757,4
local_3,local_1136494,1789045757,4
